simulation,tracer sample,redshift,mass Msol/h,Halo mass function,error
highres,subhalos,0.25,2.04609E+14,1.11E-05,9.17E-07
highres,subhalos,0.25,2.29797E+14,7.64E-06,7.60E-07
highres,subhalos,0.25,2.58086E+14,5.22E-06,6.28E-07
highres,subhalos,0.25,2.89858E+14,5.52E-06,6.46E-07
highres,subhalos,0.25,3.25541E+14,3.63E-06,5.24E-07
highres,subhalos,0.25,3.65616E+14,3.33E-06,5.02E-07
highres,subhalos,0.25,4.10625E+14,2.12E-06,4.00E-07
highres,subhalos,0.25,4.61175E+14,1.21E-06,3.03E-07
highres,subhalos,0.25,5.17947E+14,9.08E-07,2.62E-07
highres,subhalos,0.25,5.81709E+14,6.05E-07,2.14E-07
highres,subhalos,0.25,6.5332E+14,9.08E-07,2.62E-07
highres,subhalos,0.25,7.33747E+14,1.51E-07,1.07E-07
highres,subhalos,0.25,8.24074E+14,6.05E-07,2.14E-07
highres,subhalos,0.25,9.25522E+14,7.57E-08,7.57E-08
highres,subhalos,0.25,1.03946E+15,0,0
highres,subhalos,0.25,1.16742E+15,7.57E-08,7.57E-08
highres,subhalos,0.25,1.31113E+15,0,0
highres,subhalos,0.25,1.47254E+15,7.57E-08,7.57E-08
highres,subhalos,0.25,1.65382E+15,0,0
highres,subhalos,0.25,1.85741E+15,0,0
highres,subhalos,0.25,2.08606E+15,0,0
highres,subhalos,0.25,2.34287E+15,0,0
highres,subhalos,0.25,2.63129E+15,0,0
highres,subhalos,0.25,2.95521E+15,0,0
highres,subhalos,0.25,3.31901E+15,0,0
highres,subhalos,0.25,3.72759E+15,0,0
highres,subhalos,0.25,4.18648E+15,0,0
highres,subhalos,0.25,4.70185E+15,0,0
highres,subhalos,0.25,5.28067E+15,0,0
highres,subhalos,0.25,5.93074E+15,0,0
highres,subhalos,0.25,6.66085E+15,0,0
highres,subhalos,0.25,7.48083E+15,0,0
highres,subhalos,0.25,8.40175E+15,0,0
highres,subhalos,0.25,9.43604E+15,0,0
highres,subhalos,0.29,10597662487,0.001910898,1.20E-05
highres,subhalos,0.29,11902282448,0.002167304,1.28E-05
highres,subhalos,0.29,13367506999,0.010973536,2.88E-05
highres,subhalos,0.29,15013107289,0.030052935,4.77E-05
