simulation,tracer sample,redshift,mass cut,bin property,bin range,bin index,void count,scaled radius,profile values,profile errors
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[15.0, 20.0]",0,94667.0,3.8500000000000005,0.0025410494011959273,0.00043901886383967574
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[15.0, 20.0]",0,94667.0,3.95,0.002120780992658,0.000428075348559935
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[15.0, 20.0]",0,94667.0,4.050000000000001,0.0023952865183252126,0.00041698775768555455
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[15.0, 20.0]",0,94667.0,4.15,0.002307305115223368,0.000409287733904675
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[15.0, 20.0]",0,94667.0,4.25,0.0019488231917259569,0.0003996059587363021
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[15.0, 20.0]",0,94667.0,4.35,0.0022509432368245097,0.00038873925003926905
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[15.0, 20.0]",0,94667.0,4.45,0.0022452958557959146,0.0003805999883162394
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[15.0, 20.0]",0,94667.0,4.550000000000001,0.002569251688470331,0.00037286719161934217
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[15.0, 20.0]",0,94667.0,4.65,0.002610398916826906,0.00036412937211361497
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[15.0, 20.0]",0,94667.0,4.75,0.002358488601463815,0.0003558852340028854
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[15.0, 20.0]",0,94667.0,4.8500000000000005,0.0022632142562879487,0.000349332866312399
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[15.0, 20.0]",0,94667.0,4.95,0.0023649912667105255,0.0003411373261329156
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[20.0, 25.0]",1,78179.0,0.05,-0.8548349397210604,0.003685190765244684
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[20.0, 25.0]",1,78179.0,0.15000000000000002,-0.8487463152174812,0.0015256039573651676
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[20.0, 25.0]",1,78179.0,0.25,-0.8222649213537033,0.0011331547702628077
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[20.0, 25.0]",1,78179.0,0.35000000000000003,-0.768269853104061,0.0010732368195066318
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[20.0, 25.0]",1,78179.0,0.45,-0.6638829637322842,0.0011317637117693696
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[20.0, 25.0]",1,78179.0,0.55,-0.4960472688447366,0.0012377259754999467
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[20.0, 25.0]",1,78179.0,0.6500000000000001,-0.2683859613736965,0.001353749240211659
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[20.0, 25.0]",1,78179.0,0.75,-0.03041474739315131,0.0014693797432718248
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[20.0, 25.0]",1,78179.0,0.8500000000000001,0.1535338378190847,0.001557014859320703
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[20.0, 25.0]",1,78179.0,0.95,0.2507139493839712,0.0015518324559798458
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[20.0, 25.0]",1,78179.0,1.05,0.27445272886330385,0.0014442028939356732
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[20.0, 25.0]",1,78179.0,1.1500000000000001,0.2504163073349408,0.001306002178860037
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[20.0, 25.0]",1,78179.0,1.25,0.20722851003850673,0.0011637193176857311
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[20.0, 25.0]",1,78179.0,1.35,0.15850994432887422,0.001051244885522648
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[20.0, 25.0]",1,78179.0,1.4500000000000002,0.11424193288465156,0.0009615423891172224
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[20.0, 25.0]",1,78179.0,1.55,0.07903618241143695,0.000887707648949505
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[20.0, 25.0]",1,78179.0,1.6500000000000001,0.05161136778327302,0.0008270896686089835
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[20.0, 25.0]",1,78179.0,1.75,0.03186884132207779,0.0007748604036384831
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[20.0, 25.0]",1,78179.0,1.85,0.01862794656221789,0.0007347711762727577
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[20.0, 25.0]",1,78179.0,1.9500000000000002,0.01061316115864952,0.0007000360547058215
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[20.0, 25.0]",1,78179.0,2.05,0.005403131614569512,0.0006666271877177253
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[20.0, 25.0]",1,78179.0,2.1500000000000004,0.0038124431984807305,0.0006395765811817113
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[20.0, 25.0]",1,78179.0,2.25,0.00200454336144551,0.0006156407313402518
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[20.0, 25.0]",1,78179.0,2.3500000000000005,0.001546699433948362,0.0005940341061244986
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[20.0, 25.0]",1,78179.0,2.45,0.0014062669463053012,0.0005711764394604901
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[20.0, 25.0]",1,78179.0,2.55,0.000953129420135701,0.0005487811998421384
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[20.0, 25.0]",1,78179.0,2.6500000000000004,0.0011770803959620935,0.000529599723260955
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[20.0, 25.0]",1,78179.0,2.75,0.0010284661015320662,0.0005111945135162476
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[20.0, 25.0]",1,78179.0,2.8500000000000005,0.0010127891056170846,0.0004951116928933147
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[20.0, 25.0]",1,78179.0,2.95,0.0006296807615304711,0.0004802048826310094
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[20.0, 25.0]",1,78179.0,3.05,0.0007672211860785261,0.0004648479854213304
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[20.0, 25.0]",1,78179.0,3.1500000000000004,0.0006533309299654455,0.0004483356693894395
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[20.0, 25.0]",1,78179.0,3.25,0.0010054225711624287,0.00043551413898789017
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[20.0, 25.0]",1,78179.0,3.3500000000000005,0.0013185173344449908,0.0004233059876121782
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[20.0, 25.0]",1,78179.0,3.45,0.0013071675552727147,0.0004113544481797544
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[20.0, 25.0]",1,78179.0,3.55,0.0010155448904025643,0.0003975766380524689
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[20.0, 25.0]",1,78179.0,3.6500000000000004,0.000940293438380424,0.0003865917038475453
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[20.0, 25.0]",1,78179.0,3.75,0.0007598151287062649,0.000376263320561876
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[20.0, 25.0]",1,78179.0,3.8500000000000005,0.0015031813327530674,0.0003668875081197464
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[20.0, 25.0]",1,78179.0,3.95,0.0014612693844147095,0.0003568203768688954
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[20.0, 25.0]",1,78179.0,4.050000000000001,0.0008458896077552236,0.00034909075264714907
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[20.0, 25.0]",1,78179.0,4.15,0.0007441436516457678,0.0003394518488864395
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[20.0, 25.0]",1,78179.0,4.25,0.001034976495345452,0.0003313198671203799
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[20.0, 25.0]",1,78179.0,4.35,0.0007582714151976866,0.0003246121833040593
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[20.0, 25.0]",1,78179.0,4.45,0.0008094310213084821,0.0003169371749653244
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[20.0, 25.0]",1,78179.0,4.550000000000001,0.0011962482989316126,0.0003100488440466257
midres,subhalo voids,0.00,10^12 M_sol / h,radius,"[20.0, 25.0]",1,78179.0,4.65,0.0011153843473079572,0.00030310196092113976
